,count,mean,std,min,25%,50%,75%,max
task_count,14000.0,3.544857142857143,1.8702812558975086,0.0,2.0,3.0,5.0,14.0
open_task_count,14000.0,1.7787142857142857,1.3396761759416564,0.0,1.0,2.0,3.0,9.0
closed_task_count,14000.0,1.7661428571428572,1.3258988789853097,0.0,1.0,2.0,3.0,10.0
high_priority_task_count,14000.0,1.1955,1.095546723350722,0.0,0.0,1.0,2.0,6.0
lead_age_days,14000.0,730.1929285714285,421.9761595990262,0.0,364.0,732.5,1100.0,1460.0
owner_tenure_days,14000.0,307.8967857142857,405.0451342942425,0.0,0.0,71.5,549.25,1673.0
days_since_last_task_created,13595.0,81.2090474439132,199.47272703528512,0.0,0.0,0.0,0.0,1414.0
days_since_last_task_activity,13595.0,77.48576682603898,194.73981427102382,0.0,0.0,0.0,0.0,1394.0
open_task_ratio,14000.0,0.4856420995670996,0.31289299994914455,0.0,0.25,0.5,0.6666666666666666,1.0
closed_task_ratio,14000.0,0.485429329004329,0.312883163224018,0.0,0.25,0.5,0.6666666666666666,1.0
high_priority_task_ratio,14000.0,0.3251638167388167,0.2874641924946214,0.0,0.0,0.3333333333333333,0.5,1.0
task_velocity,14000.0,0.02044101286358602,0.1576436820161852,0.0,0.0027548209366391,0.0047770700636942,0.0095541401273885,6.0
high_priority_velocity,14000.0,0.007219083320377709,0.07123511771677576,0.0,0.0,0.00142146482607005,0.0032903763937835503,5.0
task_count_per_owner_day_clean,14000.0,1.6432148496232521,2.171909640242033,0.0,0.005661312774215375,0.03502637713164025,3.0,12.0
task_activity_recency_score,14000.0,0.7438929321886502,0.43350431753160185,0.0,0.0580065359477124,1.0,1.0,1.0
task_created_recency_score,14000.0,0.7343989836921205,0.43845851538001784,0.0,0.03125,1.0,1.0,1.0
status_context_score,14000.0,0.5000357142857143,0.2795038326901692,0.1270357142857142,0.1270357142857142,0.6206071428571428,0.8735714285714286,0.8735714285714286
lead_source_context_score,14000.0,0.5000357142857141,0.2846455988178191,0.0839642857142857,0.2498214285714285,0.582,0.7501785714285715,0.9177142857142856
owner_role_context_score,14000.0,0.5000357142857143,0.26117877460563554,0.2245357142857142,0.2245357142857142,0.673,0.673,0.9485
context_score,14000.0,0.5000357142857143,0.1690365473191184,0.1314607142857143,0.3646357142857143,0.5066321428571429,0.6175732142857143,0.9040071428571428
engagement_score,14000.0,0.5000357142857143,0.1935797567774863,0.0632321428571428,0.3468178571428571,0.4988160714285714,0.6491464285714286,0.9026446428571429
urgency_score,14000.0,0.5115357142857143,0.16252501141114784,0.1120457757578941,0.4999622235065413,0.5517050806493984,0.6094193663636842,0.9998714285714286
activity_strength_score,14000.0,0.5000357142857143,0.19616168950946006,0.0693,0.3672517857142857,0.5011464285714285,0.6604446428571429,0.9483535714285716
priority_score,14000.0,50.348571428571425,10.402020851332958,12.618012084274682,43.59082206233909,50.82942920519625,57.74137563376766,80.0895095623391
priority_percentile,14000.0,0.5000357142857143,0.2886854442309542,7.142857142857143e-05,0.2500535714285714,0.5000357142857144,0.7500178571428572,1.0
lead_is_converted,14000.0,0.5260714285714285,0.49933765177067335,0.0,0.0,1.0,1.0,1.0
