,count,mean,std,min,25%,50%,75%,max
task_count,14000.0,3.544857142857143,1.8702812558975086,0.0,2.0,3.0,5.0,14.0
open_task_count,14000.0,1.7787142857142857,1.3396761759416564,0.0,1.0,2.0,3.0,9.0
closed_task_count,14000.0,1.7661428571428572,1.3258988789853097,0.0,1.0,2.0,3.0,10.0
high_priority_task_count,14000.0,1.1955,1.095546723350722,0.0,0.0,1.0,2.0,6.0
lead_age_days,14000.0,730.1929285714285,421.9761595990262,0.0,364.0,732.5,1100.0,1460.0
owner_tenure_days,14000.0,307.8967857142857,405.0451342942425,0.0,0.0,71.5,549.25,1673.0
days_since_last_task_created,13595.0,81.2090474439132,199.47272703528512,0.0,0.0,0.0,0.0,1414.0
days_since_last_task_activity,13595.0,77.48576682603898,194.73981427102382,0.0,0.0,0.0,0.0,1394.0
open_task_ratio,14000.0,0.4856420995670996,0.31289299994914455,0.0,0.25,0.5,0.6666666666666666,1.0
closed_task_ratio,14000.0,0.485429329004329,0.312883163224018,0.0,0.25,0.5,0.6666666666666666,1.0
high_priority_task_ratio,14000.0,0.3251638167388167,0.2874641924946214,0.0,0.0,0.3333333333333333,0.5,1.0
task_velocity,14000.0,0.02044101286358602,0.1576436820161852,0.0,0.0027548209366391,0.0047770700636942,0.0095541401273885,6.0
high_priority_velocity,14000.0,0.007219083320377709,0.07123511771677576,0.0,0.0,0.00142146482607005,0.0032903763937835503,5.0
task_count_per_owner_day_clean,14000.0,1.6432148496232521,2.171909640242033,0.0,0.005661312774215375,0.03502637713164025,3.0,12.0
task_activity_recency_score,14000.0,0.7438929321886502,0.43350431753160185,0.0,0.0580065359477124,1.0,1.0,1.0
task_created_recency_score,14000.0,0.7343989836921205,0.43845851538001784,0.0,0.03125,1.0,1.0,1.0
priority_score,14000.0,50.29071428571429,11.371395493417234,17.92800140357724,43.12101356072036,51.073287532556236,58.68649331486915,77.06179943731813
engagement_score,14000.0,0.5000357142857143,0.12792107439818617,0.0739591836734694,0.42673724489795917,0.5166938775510204,0.5881568877551021,0.7469030612244898
urgency_score,14000.0,0.5096071428571428,0.1344867847291569,0.1365666999422056,0.4292379857790854,0.5078987000647998,0.6032022714933711,0.9997857142857144
activity_strength_score,14000.0,0.5000357142857143,0.21971249343035604,0.0601666666666666,0.3374642857142857,0.5018154761904762,0.644547619047619,0.998702380952381
lead_is_converted,14000.0,0.5260714285714285,0.49933765177067335,0.0,0.0,1.0,1.0,1.0
