,missing_count,missing_pct
account_billing_state,14000,100.0
account_billing_country,14000,100.0
account_billing_city,14000,100.0
account_employee_count,14000,100.0
account_industry,14000,100.0
account_annual_revenue,14000,100.0
account_owner_id,14000,100.0
account_type,14000,100.0
lead_source_contact_mode,14000,100.0
unique_contact_titles,14000,100.0
account_is_active,14000,100.0
unique_contact_departments,14000,100.0
days_since_last_account_event,14000,100.0
days_since_last_contact_created,14000,100.0
days_since_last_task_created,405,2.892857142857143
days_since_last_task_activity,405,2.892857142857143
open_task_count,0,0.0
task_count,0,0.0
owner_is_active,0,0.0
owner_department,0,0.0
owner_role,0,0.0
lead_owner_id,0,0.0
lead_source,0,0.0
status,0,0.0
primary_contact_count,0,0.0
contact_count,0,0.0
closed_task_count,0,0.0
high_priority_task_count,0,0.0
account_event_count,0,0.0
account_demo_count,0,0.0
account_meeting_count,0,0.0
account_onsite_count,0,0.0
contact_meeting_count,0,0.0
contact_demo_count,0,0.0
contact_event_count,0,0.0
account_qbr_count,0,0.0
owner_tenure_days,0,0.0
lead_age_days,0,0.0
contact_qbr_count,0,0.0
lead_is_converted,0,0.0
